Timestamp,Age,Gender,Years Running,Best Race Performance,Race Time(from prior question),800m Time,1500m Time,1600m(or Mile) Time,3000m Time,3200m(or 2 Mile) Time,5k Time,8k Time,10k Time,Half Marathon Time,Marathon Time,"Avg Weekly Mileage(excluding weeks where you were not running, just enter the number)"
6/16/2025 6:31:04,19,Male,8,Mile,4:40, 2:07,0,4:40,0,10:20,17:00,0,0,0,0,40
6/16/2025 6:49:52,18,Male,4,5k,00:16:37,00:02:19,0,00:04:48,0,00:10:13,00:16:37,00:27:36,0,01:21:21,0,65
6/16/2025 7:31:20,18,Female,5,Mile,5:52,2:39,0,5:52,0,0,22:10,0,0,1:55:17,0,28
6/16/2025 7:49:46,18,Female,4,Half Marathon,01:26:42,00:02:39,00:05:20,00:05:38,0,00:11:48,00:19:21,0,0,01:26:42,03:09:52,70
6/16/2025 9:10:04,19,Male,3,Mile,5:43,0,0,5:43,0,0,17:46,0,0,2:13:00,0,18
6/16/2025 9:13:59,18,Female,7,800m,2:22,2:22,0,5:22,0,12:06,20:18,0,0,0,0,35
6/16/2025 9:15:59,23,Female,8,5k,18:36,0,0,,0,0,0,0,39:40,1:27:00,3:07:00,0
6/16/2025 9:17:01,21,Male,10,5k,14:50,1:54,3:55,4:14,8:32,9:22,14:50,0,33:54,1:24:34,0,57
6/16/2025 9:19:45,24,Male,10,Half Marathon,1:22:10,2:20,4:56,5:15,10:30,11:15,18:20,31:00,40:20,1:30:00,0,35
6/16/2025 9:20:44,21,Female,8,5k,19:10,2:31,0,5:35,0,12:05,19:10,0,41:40,1:33:00,0,27
6/16/2025 9:21:14,24,Female,13,800m,2:09,2:09,0,5:20,0,11:32,18:52,0,0,0,0,6
6/16/2025 9:44:31,17,Male,3.5,5k,16:10,2:04,0,4:43,0,0,16:10,0,0,1:24:00,0,38
6/16/2025 10:06:44,17,Male,2,5k,18:18,0,,,0,0,0,0,0,0,0,32
6/16/2025 13:12:26,21,Male,12,10k,00:30:25,00:01:57,00:03:57,00:04:20,00:08:35,00:09:10,14:40,24:14,30:25,0,0,85
6/16/2025 13:25:17,20,Male,7,800m,1:56,1:56,0,4:27,0,10:11,16:32,27:57,0,1:25:44,0,25
6/16/2025 23:54:32,19,Male,5,5k,00:16:08,0,00:04:20,00:04:38,0,0,00:16:08,0,0,0,0,50
6/17/2025 16:48:34,23,Male,6,Marathon,2:26:18,1:56.8,4:05,4:20,0,0,15:01,0,0,0,2:26:18,120
6/17/2025 22:43:30,18,Male,4,1600m,4:21,2:01,,4:21,,9:30,15:30,,,,,55
6/18/2025 10:36:56,18,Female,4,2 Mile,11:16,2:26,,5:24,,11:16,18:49,,,,,30
